Date,Home,hpts,Away,apts
11/17/14,FDU Florham,61,Fairleigh Dickinson,102
11/17/14,Miami FL,69,Florida,67
11/17/14,Warner Southern,49,Florida Atlantic,74
11/17/14,UC Santa Barbara,75,Florida Gulf Coast,81
11/17/14,SMU,56,Gonzaga,72
11/17/14,Montana St.,45,Grand Canyon,61
11/17/14,Hillsdale FWB,53,Houston Baptist,89
11/17/14,South Dakota St.,77,Idaho,82
11/17/14,Western Illinois,64,Illinois Chicago,67
11/17/14,Texas Southern,64,Indiana,83
11/17/14,North Dakota St.,56,Iowa,87
11/17/14,Georgia St.,58,Iowa St.,81
11/17/14,Radford,71,James Madison,74
11/17/14,UMKC,73,Kansas St.,83
11/17/14,Delaware,55,Liberty,61
11/17/14,Belmont,87,Lipscomb,62
11/17/14,Champion Baptist,39,Louisiana Monroe,106
11/17/14,Jacksonville St.,39,Louisville,88
11/17/14,McKendree,68,Loyola Chicago,78
11/17/14,Central Connecticut,57,Maryland,93
11/17/14,Bucknell,53,Michigan,77
11/17/14,Minnesota Crookston,54,Milwaukee,75
11/17/14,Mississippi Valley St.,68,Mississippi St.,89
11/17/14,Cincinnati Christian,79,Morehead St.,87
11/17/14,Towson,51,Morgan St.,46
11/17/14,Adams St.,64,Nevada,69
11/17/14,Maine,86,NJIT,90
11/17/14,USC Upstate,63,North Carolina A&T,46
11/17/14,Hofstra,64,North Carolina St.,76
11/17/14,Webber,55,North Florida,79
11/17/14,Nicholls St.,57,North Texas,71
11/17/14,Lyon,64,Northwestern St.,75
11/17/14,Detroit,66,Oregon,83
11/17/14,Cal Lutheran,61,Pepperdine,76
11/17/14,Binghamton,45,Providence,66
11/17/14,Vermont,84,Siena,76
11/17/14,IPFW,74,SIU Edwardsville,71
11/17/14,LSU-Alexandria,65,Southern,76
11/17/14,South Alabama,59,Southern Miss,68
11/17/14,Franklin Pierce,81,St. John's,94
11/17/14,Washington St.,54,TCU,81
11/17/14,Louisiana Tech,75,Temple,82
11/17/14,Mississippi,74,Troy,64
11/17/14,Wake Forest,71,Tulane,49
11/17/14,Louisiana Lafayette,53,Tulsa,64
11/17/14,Young Harris,81,UAB,94
11/17/14,Sacramento St.,70,UC Riverside,69
11/17/14,Tennessee Tech,58,USC,70
11/17/14,Texas Pan American,63,UTSA,62
11/17/14,Maryland Eastern Shore,44,Villanova,81
11/17/14,Presentation,49,Weber St.,74
11/17/14,Newbury,51,Yale,97
11/17/14,Bristol,55,Fresno St.,93
11/18/14,Montana,67,Boise St.,72
11/18/14,Chattanooga,48,Butler,70
11/18/14,Arkansas Little Rock,62,BYU,91
11/18/14,San Francisco St.,44,Cal Poly,65
11/18/14,Youngstown St.,63,Central Michigan,75
11/18/14,Indiana Northwest,51,Chicago St.,102
11/18/14,Columbia International,51,Coastal Carolina,82
11/18/14,Wagner,56,Columbia,70
11/18/14,Colgate,52,Cornell,58
11/18/14,Campbell,51,Davidson,86
11/18/14,Drake,62,DePaul,80
11/18/14,Michigan St.,71,Duke,81
11/18/14,Virginia Wise,66,East Tennessee St.,111
11/18/14,Kentucky Christian,35,Eastern Kentucky,115
11/18/14,Northeastern,76,Florida St.,73
11/18/14,Texas A&M Corpus Chris,62,Georgetown,78
11/18/14,Stony Brook,70,Georgia,80
11/18/14,Trinity FL,49,Georgia Southern,86
11/18/14,Alabama A&M,46,Georgia Tech,66
11/18/14,Lyon,49,Grambling St.,55
11/18/14,High Point,62,Hawaii,54
11/18/14,Huston Tillotson,63,Incarnate Word,94
11/18/14,Saint Louis,69,Indiana St.,56
11/18/14,Jackson St.,66,Jacksonville,57
11/18/14,Kentucky,72,Kansas,40
11/18/14,Malone,52,Kent St.,62
11/18/14,Canisius,63,Lehigh,51
11/18/14,Texas Tech,64,LSU,69
11/18/14,West Virginia Tech,65,Marshall,87
11/18/14,Manhattan,68,Massachusetts,77
11/18/14,Louisiana College,63,McNeese St.,90
11/18/14,Wichita St.,71,Memphis,56
11/18/14,Murray St.,68,Middle Tennessee,49
11/18/14,Western Kentucky,54,Minnesota,76
11/18/14,Central Arkansas,56,Nebraska,82
11/18/14,Thomas GA,36,New Hampshire,84
11/18/14,Pensacola Christian,61,New Orleans,88
11/18/14,College of Faith,65,North Carolina Central,123
11/18/14,Mayville St.,39,North Dakota,76
11/18/14,Marquette,63,Ohio St.,74
11/18/14,NW Oklahoma St.,45,Oklahoma St.,91
11/18/14,Richmond,57,Old Dominion,63
11/18/14,Corban,62,Oregon St.,86
11/18/14,Rider,73,Penn,57
11/18/14,Willamette,63,Portland St.,84
11/18/14,Piedmont,72,Presbyterian,82
11/18/14,La Salle,60,Quinnipiac,58
11/18/14,New Mexico St.,71,Saint Mary's,83
11/18/14,Utah,49,San Diego St.,53
11/18/14,Baylor,69,South Carolina,65
11/18/14,Hannibal LaGrange,49,Southeast Missouri St.,86
11/18/14,Northern Iowa,79,Stephen F. Austin,77
11/18/14,FIU,53,Stetson,52
11/18/14,Southern Illinois,84,Tennessee St.,67
11/18/14,UNC Wilmington,84,UNC Greensboro,72
11/18/14,Buffalo,74,UT Arlington,68
11/18/14,Toledo,78,VCU,87
11/18/14,South Carolina St.,55,Virginia,75
11/18/14,Johnson TN,42,VMI,124
11/18/14,Howard,49,William & Mary,56
11/18/14,Iona,73,Wofford,86
11/18/14,Western St.,46,Wyoming,61
11/18/14,Long Beach St.,74,Xavier,97
11/19/14,Colorado Christian,47,Air Force,70
11/19/14,NJIT,48,Albany,65
11/19/14,UC Irvine,54,Arizona,71
11/19/14,Wake Forest,53,Arkansas,83
11/19/14,Trevecca Nazarene,76,Belmont,96
11/19/14,Hartwick,51,Binghamton,82
11/19/14,Wright St.,55,Bowling Green,70
11/19/14,Robert Morris,68,Bradley,61
11/19/14,Southern Virginia,48,BYU,101
11/19/14,Montana St.,65,Cal St. Northridge,72
11/19/14,Morehead St.,61,Cincinnati,69
11/19/14,Jacksonville St.,46,Cleveland St.,60
11/19/14,Oklahoma,63,Creighton,65
11/19/14,Walla Walla,34,Eastern Washington,95
11/19/14,Ohio,62,Florida Gulf Coast,79
11/19/14,Appalachian St.,65,Furman,84
11/19/14,Saint Joseph's,42,Gonzaga,94
11/19/14,Dartmouth,48,Hartford,53
11/19/14,Hawaii Hilo,71,Hawaii,89
11/19/14,Brown,65,Holy Cross,80
11/19/14,Longwood,60,James Madison,82
11/19/14,Princeton,66,Lafayette,83
11/19/14,UMBC,38,Loyola MD,45
11/19/14,Kennesaw St.,66,Mercer,74
11/19/14,Evansville,69,Miami OH,50
11/19/14,IUPUI,70,Milwaukee,68
11/19/14,Oral Roberts,64,Missouri,78
11/19/14,Avila,39,Missouri St.,87
11/19/14,Maryland Eastern Shore,53,Mount St. Mary's,41
11/19/14,Northern Colorado,65,New Mexico St.,86
11/19/14,Boston University,71,Norfolk St.,63
11/19/14,Delaware St.,55,North Texas,62
11/19/14,North Carolina A&T,55,Northern Kentucky,68
11/19/14,Coppin St.,67,Notre Dame,104
11/19/14,Western Michigan,82,Oakland,71
11/19/14,Prairie View A&M,64,Rice,68
11/19/14,Fairleigh Dickinson,44,Rutgers,61
11/19/14,Simpson CA,42,Sacramento St.,74
11/19/14,Austin Peay,67,Samford,68
11/19/14,Florida A&M,41,San Diego,72
